word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
qoeear,10667,22353,11686,f58v,f86v6,H,N,A,B,S,T
alos,10679,13236,2557,f58v,f70v2,H,J,A,?,S,Z
cheockhey,10705,11530,825,f58v,f67r1,H,I,A,?,S,A
qokiir,10712,30831,20119,f58v,f107r,H,T,A,B,S,S
chodol,10714,25439,14725,f58v,f96r,H,Q,A,A,S,H
okeeam,10718,31750,21032,f58v,f108r,H,T,A,B,S,S
olalor,10750,15564,4814,f58v,f76r,H,M,A,B,S,T
sheoltey,10762,13561,2799,f58v,f72r1,H,K,A,?,S,Z
shekar,10795,20645,9850,f58v,f84r,H,M,A,B,S,B
polal,10818,33000,22182,f58v,f111r,H,T,A,B,S,S
sydy,10904,26456,15552,f58v,f101v,H,S,A,A,S,P
otaim,10911,33233,22322,f65r,f111v,H,T,?,B,H,S
raral,10972,30566,19594,f66r,f106v,H,T,B,B,T,S
okyd,11071,13708,2637,f66r,f72r2,H,K,B,?,T,Z
qofchy,11097,11609,512,f66r,f67r2,H,I,B,?,T,A
cheer,11100,37233,26133,f66r,f116r,H,T,B,B,T,S
akar,11118,30094,18976,f66r,f106r,H,T,B,B,T,S
tosheo,11179,24266,13087,f66r,f89v1,H,O,B,A,T,P
sheocthy,11212,25011,13799,f66r,f94v,H,Q,B,B,T,H
okalchedy,11281,35255,23974,f66r,f113v,H,T,B,B,T,S
okchdal,11325,28377,17052,f66v,f104r,H,T,B,B,H,S
teeodaiin,11416,37115,25699,f67r1,f115v,I,T,?,B,A,S
epaiin,11422,25147,13725,f67r1,f95r1,I,Q,?,B,A,H
keeodal,11432,32977,21545,f67r1,f111r,I,T,?,B,A,S
soar,11448,33867,22419,f67r1,f112r,I,T,?,B,A,S
sheees,11466,30843,19377,f67r1,f107r,I,T,?,B,A,S
shchey,11520,13210,1690,f67r1,f70v2,I,J,?,?,A,Z
okeosar,11534,13536,2002,f67r1,f71v,I,K,?,?,A,Z
sotey,11535,36313,24778,f67r1,f114v,I,T,?,B,A,S
sheokeey,11542,26263,14721,f67r1,f101r,I,S,?,A,A,P
ainy,11546,23327,11781,f67r1,f87v,I,O,?,A,A,H
dalary,11570,17984,6414,f67r1,f79v,I,M,?,B,A,B
ykecho,11573,25980,14407,f67r2,f100r,I,S,?,A,A,P
shr,11577,17355,5778,f67r2,f78v,I,M,?,B,A,B
ykchs,11593,14354,2761,f67r2,f73v,I,L,?,?,A,Z
ofor,11625,21865,10240,f67r2,f86v4,I,N,?,B,A,C
dorar,11641,26381,14740,f67r2,f101v,I,S,?,A,A,P
aloiin,11644,31650,20006,f67r2,f108r,I,T,?,B,A,S
osar,11646,11710,64,f67r2,f67r2,I,I,?,?,A,A
choeey,11688,23523,11835,f67r2,f88v,I,O,?,A,A,P
otardy,11696,25368,13672,f67r2,f95v1,I,Q,?,B,A,H
otolor,11701,16495,4794,f67r2,f77v,I,M,?,B,A,B
cpheey,11706,25584,13878,f67r2,f99r,I,S,?,A,A,P
oran,11711,26863,15152,f67r2,f102v2,I,S,?,A,A,P
qokeochy,11729,28646,16917,f67r2,f104v,I,T,?,B,A,S
oeeos,11736,36095,24359,f67r2,f114v,I,T,?,B,A,S
cfhey,11769,26653,14884,f67v2,f102r2,I,S,?,A,C,P
okechey,11823,28880,17057,f67v1,f104v,I,T,?,B,A,S
dcheeos,11839,36388,24549,f67v1,f115r,I,T,?,B,A,S
chso,11849,26100,14251,f67v1,f100v,I,S,?,A,A,P
osheey,11855,22977,11122,f67v1,f86v3,I,N,?,B,A,C
che,11857,29419,17562,f67v1,f105v,I,T,?,B,A,S
okeeodaiin,11866,24615,12749,f67v1,f90v1,I,O,?,A,A,H
chpor,11889,29340,17451,f68r1,f105v,I,T,?,B,A,S
qocheey,11894,23955,12061,f68r1,f89r2,I,O,?,A,A,P
otcheody,11907,36285,24378,f68r1,f114v,I,T,?,B,A,S
otochedy,11932,13825,1893,f68r1,f72r3,I,K,?,?,A,Z
okady,11935,14220,2285,f68r1,f72v1,I,K,?,?,A,Z
tsheeor,11938,25675,13737,f68r2,f99r,I,S,?,A,A,P
otchoky,11956,12831,875,f68r2,f70r1,I,J,?,?,A,C
cheoal,11968,35711,23743,f68r2,f114r,I,T,?,B,A,S
cheorol,11983,23532,11549,f68r2,f88v,I,O,?,A,A,P
okoaiin,12008,24282,12274,f68r2,f89v1,I,O,?,A,A,P
ekey,12013,26565,14552,f68r2,f102r1,I,S,?,A,A,P
dcheeody,12085,31889,19804,f68r3,f108r,I,T,?,B,A,S
okchoda,12107,27081,14974,f68r3,f102v1,I,S,?,A,A,P
seeey,12129,26703,14574,f68v3,f102r2,I,S,?,A,C,P
qety,12132,17957,5825,f68v3,f79v,I,M,?,B,C,B
okolchey,12230,28357,16127,f68v3,f104r,I,T,?,B,C,S
sheetey,12292,15953,3661,f68v2,f76v,I,M,?,B,A,B
salar,12318,30300,17982,f68v2,f106v,I,T,?,B,A,S
shsdy,12322,25235,12913,f68v2,f95r2,I,Q,?,B,A,H
oteeys,12341,12752,411,f68v2,f69v,I,J,?,?,A,C
chokeeey,12349,36712,24363,f68v2,f115r,I,T,?,B,A,S
choikhy,12399,12989,590,f68v1,f70r2,I,J,?,?,A,C
chotedy,12409,28575,16166,f68v1,f104v,I,T,?,B,A,S
yteod,12424,14189,1765,f68v1,f72v1,I,K,?,?,A,Z
opain,12451,37404,24953,f68v1,f116r,I,T,?,B,A,S
dalr,12544,36350,23806,f69r,f114v,J,T,?,B,C,S
otolam,12549,13709,1160,f69r,f72r2,J,K,?,?,C,Z
dairam,12586,19276,6690,f69r,f81v,J,M,?,B,C,B
okcheo,12624,13131,507,f69r,f70v2,J,J,?,?,C,Z
ota,12654,35531,22877,f69v,f113v,J,T,?,B,C,S
otaldal,12710,34296,21586,f69v,f112v,J,T,?,B,C,S
oteeal,12722,27493,14771,f69v,f103r,J,T,?,B,C,S
okolar,12758,13486,728,f69v,f71v,J,K,?,?,C,Z
choekeey,12825,12827,2,f70r1,f70r1,J,J,?,?,C,C
cheeod,12921,28830,15909,f70r2,f104v,J,T,?,B,C,S
qetal,12924,20211,7287,f70r2,f83r,J,M,?,B,C,B
aloees,12933,21691,8758,f70r2,f85r2,J,N,?,B,C,C
okeeal,12994,17060,4066,f70r2,f78r,J,M,?,B,C,B
dcheoky,13010,23264,10254,f70r2,f87v,J,O,?,A,C,H
shopcho,13060,13518,458,f70r2,f71v,J,K,?,?,C,Z
okeedaly,13096,13992,896,f70r2,f72v3,J,K,?,?,C,Z
otchoshy,13130,13632,502,f70r2,f72r1,J,K,?,?,C,Z
sheodaly,13150,14136,986,f70v2,f72v2,J,K,?,?,Z,Z
okydy,13199,37718,24519,f70v2,f116r,J,T,?,B,Z,S
teodaiin,13263,25078,11815,f70v2,f95r1,J,Q,?,B,Z,H
oteoeey,13280,13350,70,f70v1,f70v1,J,J,?,?,Z,Z
shoteeody,13292,30042,16750,f70v1,f106r,J,T,?,B,Z,S
otodal,13324,30709,17385,f70v1,f107r,J,T,?,B,Z,S
cheokeeo,13325,37158,23833,f70v1,f115v,J,T,?,B,Z,S
oteas,13354,14307,953,f70v1,f73r,J,L,?,?,Z,Z
okeodaly,13474,13555,81,f71v,f72r1,K,K,?,?,Z,Z
okaraiin,13490,25148,11658,f71v,f95r1,K,Q,?,B,Z,H
opalor,13497,35422,21925,f71v,f113v,K,T,?,B,Z,S
shldy,13525,20582,7057,f71v,f83v,K,M,?,B,Z,B
okochey,13565,30419,16854,f72r1,f106v,K,T,?,B,Z,S
okalam,13593,32303,18710,f72r1,f108v,K,T,?,B,Z,S
otaraldy,13598,13693,95,f72r1,f72r2,K,K,?,?,Z,Z
cheolor,13617,34501,20884,f72r1,f112v,K,T,?,B,Z,S
okairy,13654,29408,15754,f72r2,f105v,K,T,?,B,Z,S
okalaiin,13667,33759,20092,f72r2,f111v,K,T,?,B,Z,S
qokeodal,13689,14099,410,f72r2,f72v2,K,K,?,?,Z,Z
orary,13707,14370,663,f72r2,f73v,K,L,?,?,Z,Z
yly,13753,14049,296,f72r2,f72v2,K,K,?,?,Z,Z
in,13759,28960,15201,f72r2,f105r,K,T,?,B,Z,S
okoey,13827,31505,17678,f72r3,f107v,K,T,?,B,Z,S
okeeoy,13857,26551,12694,f72r3,f102r1,K,S,?,A,Z,P
opalal,13906,31864,17958,f72r3,f108r,K,T,?,B,Z,S
octheol,13918,19461,5543,f72r3,f82r,K,M,?,B,Z,B
otchs,13925,21754,7829,f72v3,f85r2,K,N,?,B,Z,C
chopchey,13944,34817,20873,f72v3,f113r,K,T,?,B,Z,S
