word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
dcheos,23281,35132,11851,f87v,f113v,O,T,A,B,H,S
scheol,23316,26269,2953,f87v,f101r,O,S,A,A,H,P
qoekol,23410,23411,1,f88r,f88r,O,O,A,A,P,P
cheokal,23503,26411,2908,f88v,f101v,O,S,A,A,P,P
olcheody,23516,32782,9266,f88v,f111r,O,T,A,B,P,S
cheokam,23522,30133,6611,f88v,f106r,O,T,A,B,P,S
yfolaiin,23545,26278,2733,f88v,f101r,O,S,A,A,P,P
ysheod,23547,29332,5785,f88v,f105v,O,T,A,B,P,S
korain,23594,23899,305,f88v,f89r2,O,O,A,A,P,P
qkol,23638,27025,3387,f89r1,f102v1,O,S,A,A,P,P
yshor,23670,28710,5040,f89r1,f104v,O,T,A,B,P,S
ldain,23744,36949,13205,f89r1,f115v,O,T,A,B,P,S
ysheeo,23758,36650,12892,f89r1,f115r,O,T,A,B,P,S
opcheor,23783,23911,128,f89r2,f89r2,O,O,A,A,P,P
oeeor,23850,26271,2421,f89r2,f101r,O,S,A,A,P,P
cheok,23921,33207,9286,f89r2,f111v,O,T,A,B,P,S
okeeeo,23930,36624,12694,f89r2,f115r,O,T,A,B,P,S
loiiin,23965,26546,2581,f89r2,f102r1,O,S,A,A,P,P
okeoy,23986,24165,179,f89r2,f89v2,O,O,A,A,P,P
otalsy,24020,27592,3572,f89r2,f103r,O,T,A,B,P,S
cfheol,24043,25587,1544,f89v2,f99r,O,S,A,A,P,P
qekor,24142,36479,12337,f89v2,f115r,O,T,A,B,P,S
okols,24169,25993,1824,f89v2,f100r,O,S,A,A,P,P
dairair,24182,30509,6327,f89v2,f106v,O,T,A,B,P,S
chool,24183,34157,9974,f89v2,f112v,O,T,A,B,P,S
tocheo,24234,26102,1868,f89v1,f100v,O,S,A,A,P,P
qofchol,24376,30835,6459,f90r1,f107r,O,T,A,B,H,S
qoekeey,24424,26870,2446,f90r2,f102v2,O,S,A,A,H,P
sokeey,24452,30975,6523,f90r2,f107r,O,T,A,B,H,S
qkeody,24535,26767,2232,f90v2,f102r2,O,S,A,A,H,P
oleees,24541,25782,1241,f90v1,f99v,O,S,A,A,H,P
octheody,24557,28156,3599,f90v1,f104r,O,T,A,B,H,S
cthchy,24558,26724,2166,f90v1,f102r2,O,S,A,A,H,P
okeam,24610,33085,8475,f90v1,f111r,O,T,A,B,H,S
keeeol,24631,34692,10061,f90v1,f113r,O,T,A,B,H,S
okcheor,24711,26060,1349,f93r,f100v,Q,S,A,A,H,P
cheodam,24724,26533,1809,f93r,f101v,Q,S,A,A,H,P
opchody,24790,29920,5130,f93v,f106r,Q,T,A,B,H,S
qekeey,24967,31913,6946,f94v,f108r,Q,T,B,B,H,S
teedal,24969,34462,9493,f94v,f112v,Q,T,B,B,H,S
toky,25007,35171,10164,f94v,f113v,Q,T,B,B,H,S
okchaiin,25033,34113,9080,f94v,f112r,Q,T,B,B,H,S
tchdor,25102,36916,11814,f95r1,f115v,Q,T,B,B,H,S
alod,25130,28907,3777,f95r1,f104v,Q,T,B,B,H,S
tshod,25194,30340,5146,f95r2,f106v,Q,T,B,B,H,S
odaly,25213,35594,10381,f95r2,f114r,Q,T,B,B,H,S
chctham,25231,33489,8258,f95r2,f111v,Q,T,B,B,H,S
tshdol,25348,28167,2819,f95v1,f104r,Q,T,B,B,H,S
kshed,25381,29874,4493,f95v1,f106r,Q,T,B,B,H,S
qokeeod,25382,32991,7609,f95v1,f111r,Q,T,B,B,H,S
toaiin,25434,28233,2799,f96r,f104r,Q,T,A,B,H,S
teo,25529,32982,7453,f96v,f111r,Q,T,A,B,H,S
sosar,25561,37740,12179,f96v,f116r,Q,T,A,B,H,S
salo,25571,37473,11902,f99r,f116r,S,T,A,B,P,S
ykhey,25750,26286,536,f99r,f101r,S,S,A,A,P,P
okoraiin,25802,26382,580,f99v,f101v,S,S,A,A,P,P
okolol,25866,26174,308,f99v,f101r,S,S,A,A,P,P
okolaiin,25873,25874,1,f99v,f99v,S,S,A,A,P,P
sheocphy,26066,34943,8877,f100v,f113r,S,T,A,B,P,S
chockhar,26127,28230,2103,f100v,f104r,S,T,A,B,P,S
cheokeol,26136,34970,8834,f100v,f113r,S,T,A,B,P,S
sheockhey,26148,26910,762,f101r,f102v2,S,S,A,A,P,P
ssheo,26205,32842,6637,f101r,f111r,S,T,A,B,P,S
chchy,26265,28882,2617,f101r,f104v,S,T,A,B,P,S
ydar,26306,26644,338,f101r,f102r1,S,S,A,A,P,P
pcholy,26376,31667,5291,f101v,f108r,S,T,A,B,P,S
chedo,26417,30238,3821,f101v,f106v,S,T,A,B,P,S
deeor,26475,26875,400,f101v,f102v2,S,S,A,A,P,P
lolain,26557,27809,1252,f102r1,f103v,S,T,A,B,P,S
pshodaiin,26573,30040,3467,f102r1,f106r,S,T,A,B,P,S
qoeeol,27051,28801,1750,f102v1,f104v,S,T,A,B,P,S
eeol,27406,29172,1766,f103r,f105r,T,T,B,B,S,S
qokeear,27437,34380,6943,f103r,f112v,T,T,B,B,S,S
ssheey,27541,27569,28,f103r,f103r,T,T,B,B,S,S
darchedy,27605,36441,8836,f103r,f115r,T,T,B,B,S,S
qotear,27617,31548,3931,f103v,f108r,T,T,B,B,S,S
okeeshy,27766,34168,6402,f103v,f112v,T,T,B,B,S,S
tokain,27810,37295,9485,f103v,f116r,T,T,B,B,S,S
oteeam,27863,32609,4746,f103v,f111r,T,T,B,B,S,S
oteaiin,27869,33273,5404,f103v,f111v,T,T,B,B,S,S
poly,27904,34509,6605,f103v,f112v,T,T,B,B,S,S
okeedar,27984,31712,3728,f103v,f108r,T,T,B,B,S,S
qkain,28027,32506,4479,f103v,f108v,T,T,B,B,S,S
qodaiiin,28096,29024,928,f104r,f105r,T,T,B,B,S,S
oeeal,28198,34520,6322,f104r,f112v,T,T,B,B,S,S
airod,28243,29283,1040,f104r,f105r,T,T,B,B,S,S
rl,28264,32439,4175,f104r,f108v,T,T,B,B,S,S
olkeeor,28292,31318,3026,f104r,f107v,T,T,B,B,S,S
ysheo,28335,37199,8864,f104r,f115v,T,T,B,B,S,S
lkechey,28349,32868,4519,f104r,f111r,T,T,B,B,S,S
ysheeody,28364,29019,655,f104r,f105r,T,T,B,B,S,S
qokcheedy,28376,36485,8109,f104r,f115r,T,T,B,B,S,S
olcheo,28381,30389,2008,f104r,f106v,T,T,B,B,S,S
qotechy,28409,28916,507,f104r,f104v,T,T,B,B,S,S
qotaiiin,28450,36711,8261,f104r,f115r,T,T,B,B,S,S
qoeedaiin,28476,35922,7446,f104r,f114r,T,T,B,B,S,S
ychedaiin,28507,31558,3051,f104v,f108r,T,T,B,B,S,S
ockhhy,28522,29696,1174,f104v,f105v,T,T,B,B,S,S
oeedaiin,28526,35861,7335,f104v,f114r,T,T,B,B,S,S
sairol,28543,37438,8895,f104v,f116r,T,T,B,B,S,S
lcheod,28582,36571,7989,f104v,f115r,T,T,B,B,S,S
dlchd,28650,36698,8048,f104v,f115r,T,T,B,B,S,S
lsaiin,28721,32203,3482,f104v,f108v,T,T,B,B,S,S
adam,28808,29274,466,f104v,f105r,T,T,B,B,S,S
cheed,28933,35586,6653,f104v,f114r,T,T,B,B,S,S
dyteey,29070,29308,238,f105r,f105r,T,T,B,B,S,S
paiir,29147,35361,6214,f105r,f113v,T,T,B,B,S,S
teedar,29154,32552,3398,f105r,f108v,T,T,B,B,S,S
ylkaiin,29175,31156,1981,f105r,f107v,T,T,B,B,S,S
airal,29204,30733,1529,f105r,f107r,T,T,B,B,S,S
chdedy,29210,35628,6418,f105r,f114r,T,T,B,B,S,S
laiiin,29226,30054,828,f105r,f106r,T,T,B,B,S,S
aiidy,29255,29638,383,f105r,f105v,T,T,B,B,S,S
opched,29352,30183,831,f105v,f106v,T,T,B,B,S,S
ksheeol,29397,35539,6142,f105v,f113v,T,T,B,B,S,S
qolkaiin,29509,33773,4264,f105v,f112r,T,T,B,B,S,S
lkaiir,29518,30325,807,f105v,f106v,T,T,B,B,S,S
kl,29555,30871,1316,f105v,f107r,T,T,B,B,S,S
poar,29642,33874,4232,f105v,f112r,T,T,B,B,S,S
lchg,29820,32492,2672,f106r,f108v,T,T,B,B,S,S
qochedy,29903,32849,2946,f106r,f111r,T,T,B,B,S,S
rody,29959,30497,538,f106r,f106v,T,T,B,B,S,S
chlar,29960,31853,1893,f106r,f108r,T,T,B,B,S,S
kairam,29986,30984,998,f106r,f107r,T,T,B,B,S,S
lkshey,30013,36747,6734,f106r,f115r,T,T,B,B,S,S
oporaiin,30017,35127,5110,f106r,f113v,T,T,B,B,S,S
daiiral,30089,35989,5900,f106r,f114r,T,T,B,B,S,S
sheeodar,30148,32754,2606,f106v,f111r,T,T,B,B,S,S
shkar,30196,34150,3954,f106v,f112r,T,T,B,B,S,S
okarol,30376,35578,5202,f106v,f114r,T,T,B,B,S,S
ko,30428,30504,76,f106v,f106v,T,T,B,B,S,S
kcheeor,30452,34677,4225,f106v,f113r,T,T,B,B,S,S
cheokaiin,30572,35597,5025,f106v,f114r,T,T,B,B,S,S
chokchedy,30633,36084,5451,f107r,f114v,T,T,B,B,S,S
kais,30741,35808,5067,f107r,f114r,T,T,B,B,S,S
lldy,30794,33531,2737,f107r,f111v,T,T,B,B,S,S
pal,30798,31059,261,f107r,f107r,T,T,B,B,S,S
ycheain,30810,32461,1651,f107r,f108v,T,T,B,B,S,S
pairar,30898,34044,3146,f107r,f112r,T,T,B,B,S,S
alchor,30921,33875,2954,f107r,f112r,T,T,B,B,S,S
pcholky,30974,35455,4481,f107r,f113v,T,T,B,B,S,S
kalkal,31032,31258,226,f107r,f107v,T,T,B,B,S,S
chtl,31044,31047,3,f107r,f107r,T,T,B,B,S,S
lty,31344,37449,6105,f107v,f116r,T,T,B,B,S,S
lcheor,31401,37697,6296,f107v,f116r,T,T,B,B,S,S
lkedal,31551,35206,3655,f108r,f113v,T,T,B,B,S,S
qaiin,31609,34533,2924,f108r,f112v,T,T,B,B,S,S
lkeal,31731,37647,5916,f108r,f116r,T,T,B,B,S,S
lchdain,31897,36048,4151,f108r,f114v,T,T,B,B,S,S
okeedain,31934,36554,4620,f108r,f115r,T,T,B,B,S,S
lokeey,31939,32070,131,f108r,f108v,T,T,B,B,S,S
dalkedy,31962,34411,2449,f108r,f112v,T,T,B,B,S,S
otedain,32047,37018,4971,f108v,f115v,T,T,B,B,S,S
arain,32055,35944,3889,f108v,f114r,T,T,B,B,S,S
keedain,32123,34510,2387,f108v,f112v,T,T,B,B,S,S
sholkeedy,32178,32384,206,f108v,f108v,T,T,B,B,S,S
oteedain,32226,32707,481,f108v,f111r,T,T,B,B,S,S
lcheal,32292,32463,171,f108v,f108v,T,T,B,B,S,S
checkhed,32341,33098,757,f108v,f111r,T,T,B,B,S,S
lkedain,32428,36850,4422,f108v,f115v,T,T,B,B,S,S
cheokedy,32618,34865,2247,f111r,f113r,T,T,B,B,S,S
pchdam,32765,36898,4133,f111r,f115v,T,T,B,B,S,S
teed,32993,33097,104,f111r,f111r,T,T,B,B,S,S
lfchedy,33008,34948,1940,f111r,f113r,T,T,B,B,S,S
qoteal,33433,35464,2031,f111v,f113v,T,T,B,B,S,S
polar,33578,34117,539,f111v,f112r,T,T,B,B,S,S
tarol,33583,35298,1715,f111v,f113v,T,T,B,B,S,S
oteedal,33767,37094,3327,f112r,f115v,T,T,B,B,S,S
olkeear,33892,34082,190,f112r,f112r,T,T,B,B,S,S
octhdy,33952,35685,1733,f112r,f114r,T,T,B,B,S,S
shckhhy,34040,37148,3108,f112r,f115v,T,T,B,B,S,S
chcfhy,34242,36735,2493,f112v,f115r,T,T,B,B,S,S
ykeedain,34267,34505,238,f112v,f112v,T,T,B,B,S,S
ychedal,34368,37116,2748,f112v,f115v,T,T,B,B,S,S
polor,34403,37078,2675,f112v,f115v,T,T,B,B,S,S
checkhol,34444,35176,732,f112v,f113v,T,T,B,B,S,S
ycheod,34757,35590,833,f113r,f114r,T,T,B,B,S,S
cheoaiin,34758,36294,1536,f113r,f114v,T,T,B,B,S,S
lodar,34866,36516,1650,f113r,f115r,T,T,B,B,S,S
shkchedy,34884,36728,1844,f113r,f115r,T,T,B,B,S,S
dsheo,34979,36492,1513,f113r,f115r,T,T,B,B,S,S
lkches,35046,35272,226,f113r,f113v,T,T,B,B,S,S
qokaram,35247,36661,1414,f113v,f115r,T,T,B,B,S,S
pcheos,35572,35906,334,f114r,f114r,T,T,B,B,S,S
okchedam,35634,36852,1218,f114r,f115v,T,T,B,B,S,S
cheedain,35872,36063,191,f114r,f114v,T,T,B,B,S,S
chedaiiin,35939,36082,143,f114r,f114v,T,T,B,B,S,S
qopcheos,36217,36269,52,f114v,f114v,T,T,B,B,S,S
chotchdy,36644,36796,152,f115r,f115r,T,T,B,B,S,S
rodam,36960,37198,238,f115v,f115v,T,T,B,B,S,S
chll,37365,37535,170,f116r,f116r,T,T,B,B,S,S
