page_a,page_b,shared_doubletons
f83r,f108v,3
fRos,f115v,3
f105v,f106v,3
f108r,f112v,3
f112v,f115v,3
f1v,fRos,2
f4r,f4v,2
f6r,f24r,2
f8r,f8v,2
f8v,f17v,2
f40v,fRos,2
f43r,f86v6,2
f58r,f72r1,2
f58r,f99r,2
f58r,f58v,2
f58r,f105r,2
f58v,f70v2,2
f72r2,f111r,2
f76r,f82r,2
f78v,f113v,2
f79r,f108r,2
f80v,f104r,2
f83r,f86v4,2
f83r,f103v,2
f85r1,f104v,2
f85r1,f106v,2
f86v4,f116r,2
f86v6,f86v3,2
f86v5,f106r,2
f86v3,f103v,2
f86v3,f87v,2
f100v,f113r,2
f103v,f116r,2
f103v,f112v,2
f104r,f106v,2
f104r,f105r,2
f104v,f108r,2
f104v,f115r,2
f105v,f112r,2
f106r,f108v,2
f106r,f106v,2
f106v,f111r,2
f106v,f113r,2
f106v,f114r,2
f107v,f116r,2
f108v,f111r,2
f111r,f111v,2
f111r,f112r,2
f111v,f113v,2
f112r,f115v,2
f112v,f113v,2
f113r,f115r,2
f114r,f115r,2
f1r,f113r,1
f1r,f8r,1
f1r,f18v,1
f1r,f51r,1
f1r,f67r2,1
f1r,f102v2,1
f1r,f71v,1
f1r,f27v,1
f1r,f28r,1
f1r,f37v,1
f1r,f15r,1
f1r,f53r,1
f1v,f24r,1
f1v,f113r,1
f1v,f70v2,1
f1v,f20r,1
f1v,f39v,1
f2r,f53r,1
f2r,f83r,1
f2r,f54r,1
f2v,f29v,1
f2v,f111v,1
f3r,f112r,1
f3r,f14r,1
f3r,f88v,1
f3r,f36v,1
f3r,f5r,1
f3r,f104v,1
f3r,f45v,1
f3v,f6v,1
f3v,f67r2,1
f3v,f82v,1
f3v,f112v,1
f3v,f89v1,1
f3v,f108r,1
f4r,f42r,1
f4r,f29v,1
f4r,f25r,1
f4v,f55r,1
f4v,f6v,1
f4v,f13r,1
f4v,f35r,1
f4v,f84r,1
f4v,f56r,1
f5r,f99v,1
f5r,f58r,1
f5r,f20r,1
f5v,f65v,1
f5v,f30v,1
f6r,f24v,1
f6r,f100v,1
f6r,f88r,1
f6r,f49v,1
f6r,f8v,1
f6r,f90v2,1
f6v,f101r,1
f6v,f37v,1
f6v,f93r,1
f6v,f45v,1
f6v,f101v,1
f6v,f31v,1
f7r,f95v1,1
f7r,f29r,1
f7r,f49v,1
f7v,f18r,1
f7v,f86v4,1
f7v,f14v,1
f7v,f49r,1
f8r,f89r1,1
f8r,f27v,1
f8r,f115v,1
f8r,f14r,1
f8r,f102r1,1
f8r,f102v1,1
f8r,f15r,1
f8r,f46v,1
f8v,f116r,1
f8v,f111v,1
f8v,f27r,1
f8v,f85r2,1
f8v,f20r,1
f9r,f14r,1
f9r,f53v,1
f9v,f85r1,1
f9v,f43r,1
f9v,f93r,1
f9v,f42v,1
f10r,f56r,1
f10r,f17v,1
f10v,f79r,1
f10v,f37v,1
f11r,f45v,1
f11v,f18v,1
f13r,f103r,1
f13r,f24v,1
f13r,f18v,1
f13r,f19r,1
f13r,f22r,1
f13r,f72r3,1
f13v,f89v2,1
f13v,f104v,1
f13v,f68r3,1
f14r,f25r,1
f14v,f86v5,1
f14v,f19r,1
f14v,f43v,1
f14v,f43r,1
f14v,f34r,1
f14v,f72r1,1
f15r,f72r3,1
f15r,f19r,1
f15v,f30v,1
f15v,f76v,1
f15v,f22r,1
f16r,f114r,1
f16r,f86v6,1
f17r,f101r,1
f17r,f20v,1
f17r,f69r,1
f17r,f85r1,1
f17r,f116r,1
f17r,f72v1,1
f17r,f18r,1
f17r,f94r,1
f17r,f67v1,1
f17r,f106v,1
f17r,f30r,1
f17r,f93r,1
f17v,f87r,1
f17v,f47r,1
f17v,f113v,1
f18r,f72r1,1
f18r,f83v,1
f18r,f45r,1
f18r,f113r,1
f18v,f24v,1
f18v,f77r,1
f18v,f71r,1
f19r,f44r,1
f19r,f79r,1
f19r,f89v2,1
f19v,f32v,1
f20r,f69r,1
f20r,f57r,1
f20r,f100r,1
f20r,f51v,1
f20r,f68v2,1
f20v,f84v,1
f20v,f101v,1
f20v,f56r,1
f21r,f106r,1
f21r,f47r,1
f21v,f49v,1
f21v,f27r,1
f22r,f68r1,1
f22r,f23v,1
f22v,f45r,1
f22v,f56v,1
f22v,f68r1,1
f22v,f86v3,1
f23r,f25r,1
f23r,f34r,1
f23r,f108v,1
f23v,f108v,1
f23v,f28v,1
f23v,f90v2,1
f24r,f104r,1
f24r,f31v,1
f24v,f28r,1
f24v,f113v,1
f24v,f68v2,1
f24v,f52r,1
f24v,f102r1,1
f24v,f95v1,1
f25r,f86v5,1
f25r,f58r,1
f25r,f29v,1
f25v,f68r3,1
f26r,f41r,1
f26r,f42r,1
f26r,f113v,1
f26r,f90v2,1
f26v,f48r,1
f26v,f69v,1
f26v,f41v,1
f26v,f65v,1
f27r,f72v2,1
f27r,f95v2,1
f27r,f86v4,1
f27r,f106r,1
f27v,f68r2,1
f27v,f90r1,1
f27v,f84v,1
f27v,f87v,1
f28r,f115r,1
f28r,f81v,1
