word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
oleey,22500,38407,15907,f86v4,f116r,N,T,B,B,C,S
qoteeos,22609,28669,6060,f86v6,f104r,N,T,B,B,T,S
qckhy,22615,32590,9975,f86v6,f108r,N,T,B,B,T,S
chcfhy,22652,34896,12244,f86v6,f112v,N,T,B,B,T,S
lkeeor,22723,28261,5538,f86v6,f103v,N,T,B,B,T,S
qo<176>aiin,22779,23579,800,f86v6,f86v3,N,N,B,B,T,C
kshd,22796,23647,851,f86v6,f86v3,N,N,B,B,T,C
tshe<152>y,22814,25482,2668,f86v6,f94v,N,Q,B,B,T,H
tsh<152>y,22943,27822,4879,f86v6,f103r,N,T,B,B,T,S
lfchy,22999,33786,10787,f86v5,f111r,N,T,B,B,T,S
sheokaiin,23026,30457,7431,f86v5,f106r,N,T,B,B,T,S
sail,23036,30528,7492,f86v5,f106r,N,T,B,B,T,S
amom,23122,37920,14798,f86v5,f116r,N,T,B,B,T,S
