word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
ydam,11548,24256,12708,f67r2,f89r1,I,O,?,A,A,P
dalg,11620,24825,13205,f67r2,f89v1,I,O,?,A,A,P
otolor,11624,16356,4732,f67r2,f77v,I,M,?,B,A,B
cpheey,11629,26102,14473,f67r2,f99r,I,S,?,A,A,P
aldaiin,11637,12943,1306,f67r2,f70r2,I,J,?,?,A,C
ypair,11642,29780,18138,f67r2,f105r,I,T,?,B,A,S
rshey,11648,38268,26620,f67r2,f116r,I,T,?,B,A,S
qokeochy,11654,29242,17588,f67r2,f104v,I,T,?,B,A,S
oeeos,11662,36748,25086,f67r2,f114v,I,T,?,B,A,S
ocfhhy,11724,14066,2342,f67v2,f72v1,I,K,?,?,C,Z
okechey,11751,29491,17740,f67v1,f104v,I,T,?,B,A,S
keechey,11762,35691,23929,f67v1,f113r,I,T,?,B,A,S
dcheeos,11769,37047,25278,f67v1,f115r,I,T,?,B,A,S
osheey,11786,23490,11704,f67v1,f86v3,I,N,?,B,A,C
okeeodaiin,11796,25134,13338,f67v1,f90v1,I,O,?,A,A,H
tochso,11813,26618,14805,f68r1,f100v,I,S,?,A,A,P
qokeeedy,11815,36626,24811,f68r1,f114r,I,T,?,B,A,S
chpor,11819,29959,18140,f68r1,f105v,I,T,?,B,A,S
dchos,11830,35310,23480,f68r1,f113r,I,T,?,B,A,S
oke<221>r,11843,15424,3581,f68r1,f76r,I,M,?,B,A,T
okeeodal,11859,13197,1338,f68r1,f70v1,I,J,?,?,A,Z
tear,11867,33617,21750,f68r1,f111r,I,T,?,B,A,S
tsheeor,11869,26192,14323,f68r2,f99r,I,S,?,A,A,P
qockheol,11896,26739,14843,f68r2,f101r,I,S,?,A,A,P
cheoal,11898,36362,24464,f68r2,f114r,I,T,?,B,A,S
cheorol,11914,24053,12139,f68r2,f88v,I,O,?,A,A,P
okeeeody,11924,36175,24251,f68r2,f113v,I,T,?,B,A,S
okoaiin,11939,24802,12863,f68r2,f89v1,I,O,?,A,A,P
qokolchey,11988,25425,13437,f68r3,f94r,I,Q,?,B,A,H
dcheeody,12016,32531,20515,f68r3,f108r,I,T,?,B,A,S
qety,12065,17835,5770,f68v3,f79v,I,M,?,B,C,B
qockhhy,12089,26294,14205,f68v3,f99v,I,S,?,A,C,P
ykos,12108,22034,9926,f68v3,fRos,I,N,?,B,C,C
ocheol,12143,20204,8061,f68v3,f83r,I,M,?,B,C,B
okalody,12172,25792,13620,f68v3,f95v2,I,Q,?,B,C,H
scheos,12249,22339,10090,f68v2,f86v4,I,N,?,B,A,C
salar,12255,30933,18678,f68v2,f106v,I,T,?,B,A,S
shs<152>y,12259,25761,13502,f68v2,f95r2,I,Q,?,B,A,H
chokeeey,12288,37387,25099,f68v2,f115r,I,T,?,B,A,S
s<221>ry,12289,26190,13901,f68v2,f99r,I,S,?,A,A,P
shis,12331,22476,10145,f68v1,f86v4,I,N,?,B,A,C
